Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,785.000000,787.000000,763.000000,773.900024,759.257263,1945747
2018-05-08,782.799988,786.799988,772.500000,774.849976,760.189331,1360778
2018-05-09,775.000000,779.500000,759.099976,762.150024,747.729614,1058888
2018-05-10,765.599976,773.500000,751.150024,755.549988,741.254456,1388309
2018-05-11,761.500000,761.500000,743.549988,752.450012,738.213196,1188722
2018-05-14,752.500000,777.000000,750.000000,754.200012,739.930054,1709787
2018-05-15,755.000000,773.000000,723.650024,750.799988,736.594299,5816366
2018-05-16,751.500000,772.000000,750.099976,766.500000,751.997375,3129549
2018-05-17,767.750000,771.799988,754.500000,762.950012,748.514404,1404732
2018-05-18,764.000000,768.049988,741.799988,743.700012,729.628723,1185047
2018-05-21,744.400024,745.299988,735.000000,736.250000,722.319641,984687
2018-05-22,735.000000,745.450012,725.200012,740.099976,726.096802,1078032
2018-05-23,745.200012,749.900024,733.099976,734.900024,720.995178,744439
2018-05-24,738.000000,747.000000,729.900024,742.349976,728.304199,1013294
2018-05-25,743.049988,747.349976,733.099976,745.599976,731.492737,1431158
2018-05-28,747.500000,785.950012,747.500000,782.500000,767.694580,2532534
2018-05-29,782.500000,798.900024,768.950012,781.049988,766.271973,2602320
2018-05-30,770.000000,790.400024,770.000000,779.200012,764.457031,1236513
2018-05-31,784.950012,784.950012,765.650024,770.349976,755.774414,1994980
2018-06-01,770.750000,781.900024,761.599976,764.450012,749.986084,1297715
2018-06-04,766.700012,780.000000,753.400024,773.950012,759.306335,1801475
2018-06-05,775.450012,778.400024,745.099976,760.250000,745.865540,1363084
2018-06-06,760.000000,776.849976,756.250000,770.049988,755.480164,1131792
2018-06-07,771.599976,776.000000,761.599976,767.349976,752.831177,957228
2018-06-08,764.799988,824.000000,763.049988,810.049988,794.723328,4904878
2018-06-11,811.000000,829.900024,804.299988,809.500000,794.183777,3448600
2018-06-12,815.000000,861.900024,811.000000,855.000000,838.822876,8989742
2018-06-13,865.000000,882.000000,862.000000,871.900024,855.403076,6576519
2018-06-14,877.950012,904.500000,863.200012,899.599976,882.578918,6617748
2018-06-15,910.000000,924.500000,901.250000,913.200012,895.921692,8180351
2018-06-18,910.799988,917.000000,887.200012,902.200012,885.129822,3507092
2018-06-19,902.000000,921.000000,894.049988,897.849976,880.862000,4731384
2018-06-20,905.950012,912.950012,896.000000,899.849976,882.824219,2626824
2018-06-21,907.599976,907.599976,891.000000,899.650024,882.628052,2196762
2018-06-22,898.000000,909.299988,881.650024,902.900024,885.816528,3661231
2018-06-25,904.599976,920.000000,904.150024,913.450012,896.166931,3544163
2018-06-26,916.900024,921.599976,899.549988,902.349976,885.276917,2312136
2018-06-27,902.599976,907.400024,877.599976,893.599976,876.692505,2802734
2018-06-28,893.599976,909.799988,881.400024,897.750000,880.763977,4162515
2018-06-29,903.799988,913.799988,893.599976,903.799988,886.699463,2418127
2018-07-02,904.500000,906.000000,884.000000,889.450012,872.620972,1483033
2018-07-03,890.000000,907.000000,881.000000,903.099976,886.012695,2304392
2018-07-04,907.950012,939.000000,907.650024,934.200012,916.524292,5674097
2018-07-05,940.000000,946.200012,920.000000,922.650024,905.192871,3051351
2018-07-06,921.799988,939.450012,910.950012,915.799988,898.472412,2783374
2018-07-09,922.450012,929.900024,908.549988,911.500000,894.253784,1890208
2018-07-10,919.900024,921.000000,900.000000,902.849976,885.767456,1846761
2018-07-11,903.000000,914.400024,895.500000,900.450012,883.412903,2598037
2018-07-12,903.900024,906.400024,881.700012,884.500000,867.764709,1816416
